,Mito,Condition,Vial_ID,Hour,Vial,slope,intercept,R_sq,p_value,stderr
0,Mau,Fatigued,Mau_Fatigued_1,0,1,0.0199356302835,-0.71820627645,0.88567697455,8.49467066311e-13,0.00146202071958
1,Mau,Fatigued,Mau_Fatigued_2,0,2,0.0211111572807,-0.530654727926,0.717838867937,4.77433083671e-08,0.00270172741746
2,Mau,Fatigued,Mau_Fatigued_3,0,3,0.0197206586956,-0.884568910996,0.96314147881,1.03106154427e-18,0.000787480314482
3,Mau,Fatigued,Mau_Fatigued_4,0,4,0.0122927680805,-0.0176319069928,0.988893621955,5.70714712462e-25,0.000265922757428
4,Mau,Fatigued,Mau_Fatigued_1,0,1,0.0134100813082,-0.343562229909,0.961127835125,1.95394720492e-18,0.000550496518586
5,Mau,Fatigued,Mau_Fatigued_2,0,2,0.015219161682,-0.253460241458,0.976723932167,4.12044453177e-21,0.000479572202931
6,Mau,Fatigued,Mau_Fatigued_3,0,3,0.0133948510216,0.0189363726564,0.970454608644,7.23092755647e-20,0.000477078150504
7,Mau,Fatigued,Mau_Fatigued_4,0,4,0.0137305471504,-0.177106602606,0.941946386286,2.42787270098e-16,0.000695798935901
8,Mau,Fatigued,Mau_Fatigued_1,0,1,0.0124989703553,-0.209250739569,0.941893900593,2.45440711524e-16,0.000633692382021
9,Mau,Fatigued,Mau_Fatigued_2,0,2,0.0135348396837,-0.382051703587,0.935379743407,8.81241564072e-16,0.000726169249048
10,Mau,Fatigued,Mau_Fatigued_3,0,3,0.0136932603092,-0.107188430089,0.975786082727,6.62218930516e-21,0.00044030788279
11,Mau,Fatigued,Mau_Fatigued_4,0,4,0.0122418240845,-0.257601935869,0.97311486733,2.32763901824e-20,0.000415350322098
12,Mau,Fatigued,Mau_Fatigued_1,6,1,0.0163461323898,-0.85960534331,0.91025970704,4.59141196031e-14,0.00104766026641
13,Mau,Fatigued,Mau_Fatigued_2,6,2,0.0163426819573,-0.586422789474,0.944617212993,1.37786690387e-16,0.000807750404235
14,Mau,Fatigued,Mau_Fatigued_3,6,3,0.0199113975659,-0.636992586167,0.942240575125,2.2839510792e-16,0.00100629809866
15,Mau,Fatigued,Mau_Fatigued_4,6,4,0.0539698587375,-2.34646892397,0.77666999111,2.78529745807e-09,0.00590746203749
16,Mau,Fatigued,Mau_Fatigued_1,6,1,0.0189889683107,-1.0926563712,0.97035075569,7.54226865219e-20,0.000677545069104
17,Mau,Fatigued,Mau_Fatigued_2,6,2,0.0128555973248,-0.205534305638,0.976600434609,4.39083887401e-21,0.000406192666899
18,Mau,Fatigued,Mau_Fatigued_3,6,3,0.0205742535879,-0.485686879638,0.947285988128,7.60780062555e-17,0.000990697223543
19,Mau,Fatigued,Mau_Fatigued_4,6,4,0.033082859721,-0.618232732123,0.907594439883,6.53217026923e-14,0.00215476821766
20,Mau,Fatigued,Mau_Fatigued_1,6,1,0.0138475652815,-0.1921946107,0.957844408607,5.17838433221e-18,0.000592990736913
